Day of the year,LMP average day-head price,Monthly Average Value (2016-2021)
1,100.9591672,65.04285714
2,61.16888048,65.04285714
3,73.45394653,65.04285714
4,33.50251575,65.04285714
5,19.62273015,65.04285714
6,96.08625576,65.04285714
7,58.9518943,65.04285714
8,53.58650468,65.04285714
9,23.13925027,65.04285714
10,143.956022,65.04285714
11,45.88804579,65.04285714
12,49.54226288,65.04285714
13,112.8637565,65.04285714
14,135.9192684,65.04285714
15,33.03402711,65.04285714
16,64.35074277,65.04285714
17,49.55022147,65.04285714
18,63.86330168,65.04285714
19,108.7451851,65.04285714
20,114.0231666,65.04285714
21,82.70859987,65.04285714
22,80.17136076,65.04285714
23,83.62700294,65.04285714
24,89.99361951,65.04285714
25,103.7617144,65.04285714
26,93.83991585,65.04285714
27,59.95231306,65.04285714
28,45.34493191,65.04285714
29,87.47848008,65.04285714
30,104.8301672,65.04285714
31,114.1018009,65.04285714
32,48.43801976,48.63
33,55.71698098,48.63
34,49.01198747,48.63
35,61.07698992,48.63
36,69.4653238,48.63
37,61.34053254,48.63
38,67.00784725,48.63
39,25.65081962,48.63
40,50.78971409,48.63
41,69.63601971,48.63
42,52.79702968,48.63
43,18.47294546,48.63
44,39.32456439,48.63
45,21.71165917,48.63
46,46.34754032,48.63
47,25.94759923,48.63
48,71.87495411,48.63
49,50.89245733,48.63
50,58.97932987,48.63
51,84.55590613,48.63
52,37.81626125,48.63
53,43.59118796,48.63
54,55.94059008,48.63
55,55.84247722,48.63
56,45.92086363,48.63
57,19.89025854,48.63
58,56.72359604,48.63
59,72.48493998,48.63
60,34.1738229,34.92571429
61,42.01474513,34.92571429
62,50.86264005,34.92571429
63,32.80308275,34.92571429
64,32.21751899,34.92571429
65,24.19476616,34.92571429
66,28.71704975,34.92571429
67,43.13435582,34.92571429
68,25.48421266,34.92571429
69,21.74866838,34.92571429
70,22.68642746,34.92571429
71,52.62644574,34.92571429
72,41.56196963,34.92571429
73,29.1709299,34.92571429
74,38.40521976,34.92571429
75,29.50620009,34.92571429
76,42.62949547,34.92571429
77,26.32286395,34.92571429
78,44.60072365,34.92571429
79,29.46149884,34.92571429
80,28.60314664,34.92571429
81,30.35399191,34.92571429
82,37.22448374,34.92571429
83,42.19141112,34.92571429
84,32.0249405,34.92571429
85,33.92457758,34.92571429
86,27.33518694,34.92571429
87,43.27762234,34.92571429
88,42.11633281,34.92571429
89,37.58452787,34.92571429
90,27.62859581,34.92571429
91,31.70083939,33.6
92,42.78835473,33.6
93,44.60625552,33.6
94,40.22279675,33.6
95,33.49467187,33.6
96,39.89478517,33.6
97,33.32741432,33.6
98,27.28673671,33.6
99,38.94633353,33.6
100,41.07990596,33.6
101,27.70967057,33.6
102,34.42076712,33.6
103,42.19828736,33.6
104,28.45746397,33.6
105,40.3862244,33.6
106,49.38540432,33.6
107,27.45687676,33.6
108,17.10137274,33.6
109,31.38963648,33.6
110,31.27368583,33.6
111,17.8649896,33.6
112,25.04523274,33.6
113,24.25858854,33.6
114,31.50572756,33.6
115,33.98811178,33.6
116,33.30245881,33.6
117,28.94595252,33.6
118,31.33244086,33.6
119,29.80372566,33.6
120,34.13723113,33.6
121,29.7289112,30.66142857
122,34.69513656,30.66142857
123,31.30134733,30.66142857
124,33.11957281,30.66142857
125,33.15475289,30.66142857
126,32.0096559,30.66142857
127,33.36605224,30.66142857
128,30.69741021,30.66142857
129,33.93182081,30.66142857
130,27.12979977,30.66142857
131,30.03426927,30.66142857
132,24.68082076,30.66142857
133,31.18611749,30.66142857
134,32.11951177,30.66142857
135,29.74292346,30.66142857
136,26.66894748,30.66142857
137,31.90008801,30.66142857
138,26.84557223,30.66142857
139,32.08083959,30.66142857
140,24.98030842,30.66142857
141,25.22975062,30.66142857
142,30.52097086,30.66142857
143,22.36582921,30.66142857
144,30.00378982,30.66142857
145,30.97494555,30.66142857
146,30.27203092,30.66142857
147,33.02553395,30.66142857
148,33.17890442,30.66142857
149,33.71037632,30.66142857
150,32.76708836,30.66142857
151,31.60824612,30.66142857
152,28.3529013,31.60857143
153,33.42836315,31.60857143
154,37.51324325,31.60857143
155,37.72615979,31.60857143
156,23.22358443,31.60857143
157,35.15766683,31.60857143
158,31.47186176,31.60857143
159,32.30887863,31.60857143
160,33.7910236,31.60857143
161,34.17356094,31.60857143
162,43.09512847,31.60857143
163,36.65425682,31.60857143
164,33.53034711,31.60857143
165,25.86837398,31.60857143
166,33.0151677,31.60857143
167,27.09223808,31.60857143
168,39.64331979,31.60857143
169,33.99030687,31.60857143
170,22.77938426,31.60857143
171,36.64049362,31.60857143
172,30.11561198,31.60857143
173,30.08609023,31.60857143
174,34.42505191,31.60857143
175,32.66692507,31.60857143
176,33.9922579,31.60857143
177,22.18990532,31.60857143
178,21.9867779,31.60857143
179,34.87306278,31.60857143
180,29.96150213,31.60857143
181,19.41974113,31.60857143
182,38.74107696,38.58142857
183,37.60574196,38.58142857
184,31.01860669,38.58142857
185,34.58401282,38.58142857
186,38.62138558,38.58142857
187,38.44921002,38.58142857
188,42.23544541,38.58142857
189,40.66207956,38.58142857
190,32.47388548,38.58142857
191,36.85961154,38.58142857
192,33.20783722,38.58142857
193,37.75607863,38.58142857
194,38.82245585,38.58142857
195,46.06610253,38.58142857
196,42.40348005,38.58142857
197,31.7300921,38.58142857
198,40.84808532,38.58142857
199,42.78172292,38.58142857
200,43.83430315,38.58142857
201,28.87282991,38.58142857
202,38.83355715,38.58142857
203,38.18250153,38.58142857
204,31.82639988,38.58142857
205,37.57745638,38.58142857
206,41.76878564,38.58142857
207,31.75454169,38.58142857
208,41.36095206,38.58142857
209,37.65759388,38.58142857
210,38.7369879,38.58142857
211,33.60623689,38.58142857
212,40.27131001,38.58142857
213,46.91265052,42.01571429
214,57.38967467,42.01571429
215,41.37694912,42.01571429
216,51.21152559,42.01571429
217,21.14043208,42.01571429
218,40.64880589,42.01571429
219,45.60904915,42.01571429
220,49.0593011,42.01571429
221,47.32849856,42.01571429
222,36.89840959,42.01571429
223,43.11222406,42.01571429
224,28.15071437,42.01571429
225,31.29197712,42.01571429
226,49.29091956,42.01571429
227,44.7613496,42.01571429
228,45.4490601,42.01571429
229,37.32849736,42.01571429
230,33.42514851,42.01571429
231,46.30079823,42.01571429
232,34.66616089,42.01571429
233,19.42834873,42.01571429
234,45.25417947,42.01571429
235,42.41517831,42.01571429
236,39.4972913,42.01571429
237,37.33843619,42.01571429
238,37.72421645,42.01571429
239,60.42877665,42.01571429
240,46.34500393,42.01571429
241,48.04850364,42.01571429
242,33.69591509,42.01571429
243,38.97560412,42.01571429
244,27.86117358,34.15
245,27.68956072,34.15
246,43.55291197,34.15
247,13.98764246,34.15
248,35.39009718,34.15
249,29.86713655,34.15
250,39.38311927,34.15
251,44.03407207,34.15
252,27.98340651,34.15
253,40.73404838,34.15
254,44.3526547,34.15
255,34.83622636,34.15
256,31.46642584,34.15
257,39.06332838,34.15
258,35.31643434,34.15
259,30.58705757,34.15
260,32.16743663,34.15
261,25.23657409,34.15
262,34.62472659,34.15
263,18.59941698,34.15
264,24.93305858,34.15
265,26.00785496,34.15
266,22.74798721,34.15
267,44.31600934,34.15
268,48.53826545,34.15
269,40.4387622,34.15
270,46.53296719,34.15
271,45.51343279,34.15
272,35.71155685,34.15
273,41.46186052,34.15
274,23.75890913,34.67
275,44.51964067,34.67
276,27.10636285,34.67
277,65.55102496,34.67
278,29.93030637,34.67
279,36.38799744,34.67
280,30.98543099,34.67
281,32.99930663,34.67
282,36.13743137,34.67
283,48.12137276,34.67
284,26.807142,34.67
285,38.78569082,34.67
286,55.37083107,34.67
287,43.60295786,34.67
288,46.83116861,34.67
289,25.90754462,34.67
290,35.60740128,34.67
291,26.38106864,34.67
292,36.13763206,34.67
293,50.1216677,34.67
294,38.41312544,34.67
295,26.34690686,34.67
296,27.6456057,34.67
297,26.12175341,34.67
298,25.90309921,34.67
299,31.53326144,34.67
300,17.89255979,34.67
301,34.72447602,34.67
302,12.20654557,34.67
303,54.51798382,34.67
304,10.50793343,34.67
305,48.49676633,40.75142857
306,65.11516775,40.75142857
307,38.54010096,40.75142857
308,60.21570471,40.75142857
309,51.51998522,40.75142857
310,48.04361443,40.75142857
311,52.02394249,40.75142857
312,31.79909193,40.75142857
313,27.11456052,40.75142857
314,51.8182374,40.75142857
315,50.06975276,40.75142857
316,22.29856953,40.75142857
317,33.04318094,40.75142857
318,49.69568508,40.75142857
319,42.12866529,40.75142857
320,26.51640694,40.75142857
321,51.5297552,40.75142857
322,52.42479734,40.75142857
323,46.81656592,40.75142857
324,39.35368472,40.75142857
325,47.13973471,40.75142857
326,30.72000491,40.75142857
327,41.66769429,40.75142857
328,22.12611909,40.75142857
329,27.06773964,40.75142857
330,52.69619305,40.75142857
331,36.43489025,40.75142857
332,42.58944139,40.75142857
333,24.08831203,40.75142857
334,42.73209317,40.75142857
335,35.26155222,60.15
336,63.77913089,60.15
337,56.854123,60.15
338,51.99031098,60.15
339,56.63542947,60.15
340,50.64623749,60.15
341,31.97587241,60.15
342,74.17628641,60.15
343,66.76867656,60.15
344,62.65182399,60.15
345,41.64216501,60.15
346,43.08902124,60.15
347,52.30190123,60.15
348,35.65516119,60.15
349,57.64331544,60.15
350,51.22479995,60.15
351,82.07357797,60.15
352,84.06057469,60.15
353,54.50382215,60.15
354,61.97491884,60.15
355,52.4834676,60.15
356,38.96912246,60.15
357,59.75945522,60.15
358,73.91963418,60.15
359,55.31255149,60.15
360,79.38537211,60.15
361,55.14709563,60.15
362,33.54880321,60.15
363,49.56491492,60.15
364,65.28063155,60.15
365,53.56361146,60.15
